nrow,language_id,algorithm_id,content
19,8,3,"&lt;?php\n\nfunction fibonacci($n) {\n    $fib = array();\n    $fib[0] = 0;\n    $fib[1] = 1;\n    \n    for ($i = 2; $i <= $n; $i++) {\n        $fib[$i] = $fib[$i - 1] + $fib[$i - 2];\n    }\n    \n    return $fib[$n];\n}\n\n// Example usage\n$n = 10;\necho \"Fibonacci number at position $n is: \" . fibonacci($n);\n\n?&gt;"
21,13,8,"merge :: Ord a => [a] -> [a] -> [a]\nmerge [] ys = ys\nmerge xs [] = xs\nmerge (x:xs) (y:ys) =\n    if x <= y\n        then x : merge xs (y:ys)\n        else y : merge (x:xs) ys\n\nmergeSort :: Ord a => [a] -> [a]\nmergeSort [] = []\nmergeSort [x] = [x]\nmergeSort xs =\n    let (left, right) = splitAt (length xs `div` 2) xs\n    in merge (mergeSort left) (mergeSort right)\n\nmain :: IO ()\nmain = do\n    let arr = [64, 34, 25, 12, 22, 11, 90]\n    putStrLn $ \"Original array: \" ++ show arr\n    putStrLn $ \"Sorted array: \" ++ show (mergeSort arr)\n"
40,8,11,"<pre>\nfunction heapify(array &$arr, int $n, int $i) {\n    $largest = $i;\n    $left = 2 * $i + 1;\n    $right = 2 * $i + 2;\n\n    // Check if left child is larger than root\n    if ($left < $n && $arr[$left] > $arr[$largest]) {\n        $largest = $left;\n    }\n\n    // Check if right child is larger than largest so far\n    if ($right < $n && $arr[$right] > $arr[$largest]) {\n        $largest = $right;\n    }\n\n    // If largest is not root\n    if ($largest != $i) {\n        $temp = $arr[$i];\n        $arr[$i] = $arr[$largest];\n        $arr[$largest] = $temp;\n\n        // Recursively heapify the affected sub-tree\n        heapify($arr, $n, $largest);\n    }\n}\n\nfunction heapSort(array &$arr) {\n    $n = count($arr);\n\n    // Build heap (rearrange array)\n    for ($i = (int)($n / 2) - 1; $i >= 0; $i--) {\n        heapify($arr, $n, $i);\n    }\n\n    // Extract elements from heap one by one\n    for ($i = $n - 1; $i >= 0; $i--) {\n        $temp = $arr[0];\n        $arr[0] = $arr[$i];\n        $arr[$i] = $temp"
63,6,5,"#include <iostream>\n#include <vector>\n\nusing namespace std;\n\nclass UnionFind {\npublic:\n    UnionFind(int size) {\n        parent.resize(size);\n        rank.resize(size, 0);\n\n        for (int i = 0; i < size; i++) {\n            parent[i] = i;\n        }\n    }\n\n    int find(int x) {\n        if (parent[x] != x) {\n            parent[x] = find(parent[x]);\n        }\n        return parent[x];\n    }\n\n    void unite(int x, int y) {\n        int rootX = find(x);\n        int rootY = find(y);\n\n        if (rootX != rootY) {\n            if (rank[rootX] < rank[rootY]) {\n                parent[rootX] = rootY;\n            } else if (rank[rootX] > rank[rootY]) {\n                parent[rootY] = rootX;\n            } else {\n                parent[rootY] = rootX;\n                rank[rootX]++;\n            }\n        }\n    }\n\nprivate:\n    vector<int> parent;\n    vector<int> rank;\n};\n\nint main() {\n    UnionFind uf(10);\n\n    uf.unite(0, 2);\n    uf.unite(1, 4);\n    uf.unite(3, 5);\n    uf.unite(2, 4);\n    uf.unite(6, 8);\n    uf.unite(7, 9);\n    uf.unite(7, 8);\n\n    cout << \"Parent array: \";\n    for (int i = 0; i < 10; i++) {\n        cout << uf.find(i) << \" \";\n    }\n\n    return 0;\n}\n"
65,2,5,"package main\n\nimport (\n\t\"fmt\"\n)\n\ntype UnionFind struct {\n\tparent []int\n\trank   []int\n\tcount  int\n}\n\nfunc NewUnionFind(size int) *UnionFind {\n\tuf := &UnionFind{\n\t\tparent: make([]int, size),\n\t\trank:   make([]int, size),\n\t\tcount:  size,\n\t}\n\n\tfor i := 0; i < size; i++ {\n\t\tuf.parent[i] = i\n\t\tuf.rank[i] = 1\n\t}\n\n\treturn uf\n}\n\nfunc (uf *UnionFind) Find(x int) int {\n\tif uf.parent[x] != x {\n\t\tuf.parent[x] = uf.Find(uf.parent[x])\n\t}\n\treturn uf.parent[x]\n}\n\nfunc (uf *UnionFind) Union(x int, y int) {\n\trootX := uf.Find(x)\n\trootY := uf.Find(y)\n\n\tif rootX == rootY {\n\t\treturn\n\t}\n\n\tif uf.rank[rootX] < uf.rank[rootY] {\n\t\tuf.parent[rootX] = rootY\n\t} else if uf.rank[rootX] > uf.rank[rootY] {\n\t\tuf.parent[rootY] = rootX\n\t} else {\n\t\tuf.parent[rootY] = rootX\n\t\tuf.rank[rootX]++\n\t}\n\n\tuf.count--\n}\n\nfunc main() {\n\tuf := NewUnionFind(5)\n\n\tuf.Union(0, 1)\n\tuf.Union(1, 2)\n\tuf.Union(3, 4)\n\n\tfmt.Println(uf.Count()) // Output: 2\n}\n\n"
10,1,14,"def gcd(a, b):\n    while b != 0:\n        a, b = b, a % b\n    return a\n\n# Example usage\nnum1 = 48\nnum2 = 18\nprint(f\"The GCD of {num1} and {num2} is: {gcd(num1, num2)}\")\n"
44,2,11,"package main\n\nimport \"fmt\"\n\nfunc heapSort(arr []int) {\n    n := len(arr)\n\n    for i := n/2 - 1; i >= 0; i-- {\n        heapify(arr, n, i)\n    }\n\n    for i := n - 1; i >= 0; i-- {\n        arr[0], arr[i] = arr[i], arr[0]\n        heapify(arr, i, 0)\n    }\n}\n\nfunc heapify(arr []int, n int, i int) {\n    largest := i\n    left := 2*i + 1\n    right := 2*i + 2\n\n    if left < n && arr[left] > arr[largest] {\n        largest = left\n    }\n\n    if right < n && arr[right] > arr[largest] {\n        largest = right\n    }\n\n    if largest != i {\n        arr[i], arr[largest] = arr[largest], arr[i]\n        heapify(arr, n, largest)\n    }\n}\n\nfunc main() {\n    arr := []int{12, 11, 13, 5, 6, 7}\n    fmt.Println(\"Original array:\", arr)\n\n    heapSort(arr)\n    fmt.Println(\"Sorted array:\", arr)\n}\n"
26,16,10,"defmodule InsertionSort do\n  def sort(list) do\n    sort(list, [])\n  end\n\n  defp sort([], sorted_list), do: Enum.reverse(sorted_list)\n  \n  defp sort([head | tail], sorted_list) do\n    sorted = insert(head, sorted_list)\n    sort(tail, sorted)\n  end\n\n  defp insert(element, [head | tail] = list) when element <= head do\n    [element | list]\n  end\n  \n  defp insert(element, [head | tail]) do\n    [head | insert(element, tail)]\n  end\nend\n\n# Example usage\nunsorted_list = [64, 34, 25, 12, 22, 11, 90]\nsorted_list = InsertionSort.sort(unsorted_list)\nIO.inspect(sorted_list)\n"
56,17,9,"module Main exposing (main)\n\nimport Array exposing (Array)\nimport Debug exposing (toString)\n\nselectionSort : List comparable -> List comparable\nselectionSort list =\n    let\n        arr = List.toArray list\n        len = Array.length arr\n    in\n    Array.toList <| selectionSortHelper arr len 0\n\n\nselectionSortHelper : Array comparable -> Int -> Int -> Array comparable\nselectionSortHelper arr len i =\n    if i < len then\n        let\n            minIndex = findMinIndex arr i (len - 1)\n            swappedArr = swap arr i minIndex\n        in\n        selectionSortHelper swappedArr len (i + 1)\n    else\n        arr\n\n\nfindMinIndex : Array comparable -> Int -> Int -> Int\nfindMinIndex arr start end =\n    let\n        minIndex = ref start\n        minValue = Array.get start arr\n        updateMinValueAndIndex index =\n            let\n                value = Array.get index arr\n            in\n            if value < minValue then\n                ( value, index )\n            else\n                ( minValue, minIndex )\n    in\n    Array.foldl updateMinValueAndIndex ( minValue, start ) (List.range start (end + 1)) -- Compare start to end\n\n\nswap : Array comparable -> Int -> Int -> Array comparable\nswap arr i j =\n    let\n        temp = Array.get i arr\n        updatedArr = Array.set i (Array.get j arr) arr\n    in\n    Array.set j temp updatedArr\n\n\nmain : Program () Model Msg\nmain =\n    let\n        sorted = selectionSort [ 64, 34, 25, 12, 22, "
70,7,5,"using System;\n\nclass UnionFind\n{\n    private int[] parent;\n    private int[] rank;\n\n    public UnionFind(int size)\n    {\n        parent = new int[size];\n        rank = new int[size];\n\n        for (int i = 0; i < size; i++)\n        {\n            parent[i] = i;\n            rank[i] = 0;\n        }\n    }\n\n    public int Find(int x)\n    {\n        if (x != parent[x])\n        {\n            parent[x] = Find(parent[x]);\n        }\n\n        return parent[x];\n    }\n\n    public void Union(int x, int y)\n    {\n        int rootX = Find(x);\n        int rootY = Find(y);\n\n        if (rootX == rootY)\n        {\n            return;\n        }\n\n        if (rank[rootX] < rank[rootY])\n        {\n            parent[rootX] = rootY;\n        }\n        else if (rank[rootX] > rank[rootY])\n        {\n            parent[rootY] = rootX;\n        }\n        else\n        {\n            parent[rootY] = rootX;\n            rank[rootX]++;\n        }\n    }\n}\n\nclass Program\n{\n    static void Main(string[] args)\n    {\n        UnionFind uf = new UnionFind(5);\n\n        uf.Union(0, 2);\n        uf.Union(4, 2);\n        uf.Union(3, 1);\n\n        Console.WriteLine(uf.Find(4)); // Output: 0\n        Console.WriteLine(uf.Find(1)); // Output: 3\n    }\n}\n"
30,7,13,"using System;\nusing System.Collections.Generic;\n\nclass Program\n{\n    static void Main(string[] args)\n    {\n        Queue<string> queue = new Queue<string>();\n\n        // Enqueue elements in the queue\n        queue.Enqueue(\"Apple\");\n        queue.Enqueue(\"Banana\");\n        queue.Enqueue(\"Cherry\");\n\n        // Print the elements in the queue\n        foreach (string fruit in queue)\n        {\n            Console.WriteLine(fruit);\n        }\n\n        // Dequeue elements from the queue\n        string firstFruit = queue.Dequeue();\n        Console.WriteLine(\"Dequeued element: \" + firstFruit);\n\n        // Peek the front element in the queue\n        string frontFruit = queue.Peek();\n        Console.WriteLine(\"Front element: \" + frontFruit);\n    }\n}\n"
46,12,2,"class Graph\n  def initialize\n    @adj_list = {}\n  end\n\n  def add_edge(u, v)\n    @adj_list[u] ||= []\n    @adj_list[u] << v\n  end\n\n  def bfs(start)\n    visited = {}\n    queue = []\n\n    visited[start] = true\n    queue << start\n\n    while !queue.empty?\n      current = queue.shift\n      print \"#{current} \"\n\n      if @adj_list[current]\n        @adj_list[current].each do |neighbor|\n          unless visited[neighbor]\n            visited[neighbor] = true\n            queue << neighbor\n          end\n        end\n      end\n    end\n  end\nend\n\n# Example usage\ng = Graph.new\n\ng.add_edge('A', 'B')\ng.add_edge('A', 'C')\ng.add_edge('B', 'D')\ng.add_edge('C', 'E')\ng.add_edge('D', 'F')\ng.add_edge('E', 'F')\n\nputs \"Breadth First Traversal (starting from 'A'):\"\ng.bfs('A')\n"
52,6,2,"#include <iostream>\n#include <queue>\n#include <vector>\n\nusing namespace std;\n\nclass Graph {\npublic:\n    void addEdge(int u, int v) {\n        adj[u].push_back(v);\n    }\n\n    void bfs(int start) {\n        vector<bool> visited(adj.size(), false);\n        queue<int> q;\n        visited[start] = true;\n        q.push(start);\n\n        while (!q.empty()) {\n            int current = q.front();\n            q.pop();\n\n            cout << current << \" \";\n\n            for (int neighbor : adj[current]) {\n                if (!visited[neighbor]) {\n                    visited[neighbor] = true;\n                    q.push(neighbor);\n                }\n            }\n        }\n    }\n\nprivate:\n    vector<vector<int>> adj;\n};\n\nint main() {\n    Graph g;\n\n    g.addEdge(0, 1);\n    g.addEdge(0, 2);\n    g.addEdge(1, 2);\n    g.addEdge(2, 0);\n    g.addEdge(2, 3);\n    g.addEdge(3, 3);\n\n    cout << \"Breadth First Traversal (starting from 2): \";\n    g.bfs(2);\n\n    return 0;\n}"
34,2,13,"package main\n\nimport \"fmt\"\n\ntype Queue struct {\n    elements []int\n}\n\nfunc (q *Queue) Enqueue(element int) {\n    q.elements = append(q.elements, element)\n}\n\nfunc (q *Queue) Dequeue() int {\n    if len(q.elements) == 0 {\n        return -1 // Error: Queue is empty\n    }\n    \n    front := q.elements[0]\n    q.elements = q.elements[1:]\n    return front\n}\n\nfunc main() {\n    q := Queue{}\n    q.Enqueue(10)\n    q.Enqueue(20)\n    q.Enqueue(30)\n    \n    fmt.Println(q.Dequeue()) // Output: 10\n    fmt.Println(q.Dequeue()) // Output: 20\n    fmt.Println(q.Dequeue()) // Output: 30\n    fmt.Println(q.Dequeue()) // Output: -1 (Error: Queue is empty)\n}\n"
24,2,3,"package main\n\nimport \"fmt\"\n\nfunc fibonacci(n int) int {\n    if n <= 1 {\n        return n\n    }\n\n    dp := make([]int, n+1)\n    dp[0] = 0\n    dp[1] = 1\n\n    for i := 2; i <= n; i++ {\n        dp[i] = dp[i-1] + dp[i-2]\n    }\n\n    return dp[n]\n}\n\nfunc main() {\n    fmt.Println(fibonacci(6)) // Output: 8\n}\n"
46,11,3,"import java.util.Arrays;\n\npublic class DynamicProgramming {\n\n    public static int fibonacci(int n) {\n        if (n <= 1) {\n            return n;\n        }\n\n        int[] dp = new int[n + 1];\n        dp[0] = 0;\n        dp[1] = 1;\n\n        for (int i = 2; i <= n; i++) {\n            dp[i] = dp[i - 1] + dp[i - 2];\n        }\n\n        return dp[n];\n    }\n\n    public static int knapsack(int[] weights, int[] values, int capacity) {\n        int n = weights.length;\n        int[][] dp = new int[n + 1][capacity + 1];\n\n        for (int i = 1; i <= n; i++) {\n            for (int j = 1; j <= capacity; j++) {\n                if (weights[i - 1] <= j) {\n                    dp[i][j] = Math.max(values[i - 1] + dp[i - 1][j - weights[i - 1]], dp[i - 1][j]);\n                } else {\n                    dp[i][j] = dp[i - 1][j];\n                }\n            }\n        }\n\n        return dp[n][capacity];\n    }\n\n    public static void main(String[] args) {\n        // Fibonacci\n        int n = 6;\n        int fibonacciResult = fibonacci(n);\n        System.out.println(\"Fibonacci(\" + n + \") = \" + fibonacciResult);\n\n        // Knapsack\n        int[] weights = {2, 3, 4, 5};\n        int[] values = {3"
45,18,8,"function merge_sort(arr)\n    if length(arr) == 1\n        return arr\n    end\n    \n    mid = div(length(arr), 2)\n    left = merge_sort(arr[1:mid])\n    right = merge_sort(arr[mid+1:end])\n    \n    return merge(left, right)\nend\n\nfunction merge(left, right)\n    merged = []\n    i = 1\n    j = 1\n    \n    while i <= length(left) && j <= length(right)\n        if left[i] <= right[j]\n            push!(merged, left[i])\n            i += 1\n        else\n            push!(merged, right[j])\n            j += 1\n        end\n    end\n    \n    while i <= length(left)\n        push!(merged, left[i])\n        i += 1\n    end\n    \n    while j <= length(right)\n        push!(merged, right[j])\n        j += 1\n    end\n    \n    return merged\nend\n\n# Example usage\narr = [64, 34, 25, 12, 22, 11, 90]\nprintln(\"Original array: \", arr)\nprintln(\"Sorted array: \", merge_sort(arr))\n"
14,10,14,"import Foundation\n\nfunc gcd(_ a: Int, _ b: Int) -> Int {\n    if b == 0 {\n        return a\n    } else {\n        return gcd(b, a % b)\n    }\n}\n\n// Example usage\nlet result = gcd(48, 18)\nprint(\"GCD: \\(result)\") // Output: GCD: 6\n"
25,3,7,"function quickSort(arr: number[]): number[] {\n    if (arr.length <= 1) {\n        return arr;\n    } else {\n        const pivot = arr[0];\n        const left = [];\n        const right = [];\n\n        for (let i = 1; i < arr.length; i++) {\n            if (arr[i] < pivot) {\n                left.push(arr[i]);\n            } else {\n                right.push(arr[i]);\n            }\n        }\n\n        return [...quickSort(left), pivot, ...quickSort(right)];\n    }\n}\n\n// Example usage\nconst arr = [64, 34, 25, 12, 22, 11, 90];\nconsole.log(\"Original array: \" + arr);\nconsole.log(\"Sorted array: \" + quickSort(arr));\n"
65,7,8,"using System;\n\nclass MergeSort\n{\n    static void Merge(int[] arr, int left, int middle, int right)\n    {\n        int n1 = middle - left + 1;\n        int n2 = right - middle;\n\n        int[] leftArray = new int[n1];\n        int[] rightArray = new int[n2];\n\n        for (int i = 0; i < n1; ++i)\n        {\n            leftArray[i] = arr[left + i];\n        }\n\n        for (int j = 0; j < n2; ++j)\n        {\n            rightArray[j] = arr[middle + 1 + j];\n        }\n\n        int k = left;\n        int x = 0, y = 0;\n\n        while (x < n1 && y < n2)\n        {\n            if (leftArray[x] <= rightArray[y])\n            {\n                arr[k] = leftArray[x];\n                x++;\n            }\n            else\n            {\n                arr[k] = rightArray[y];\n                y++;\n            }\n            k++;\n        }\n\n        while (x < n1)\n        {\n            arr[k] = leftArray[x];\n            x++;\n            k++;\n        }\n\n        while (y < n2)\n        {\n            arr[k] = rightArray[y];\n            y++;\n            k++;\n        }\n    }\n\n    static void Sort(int[] arr, int left, int right)\n    {\n        if (left < right)\n        {\n            int middle = left + (right - left) / 2;\n\n            Sort(arr, left, middle);\n            Sort(arr, middle + 1, right);\n\n            Merge(arr, left, middle"
34,18,13,"struct Queue{T}\n    items::Vector{T}\nend\n\nfunction enqueue(queue::Queue{T}, item::T) where T\n    push!(queue.items, item)\n    return queue\nend\n\nfunction dequeue(queue::Queue{T}) where T\n    if isempty(queue.items)\n        throw(ArgumentError(\"Queue is empty\"))\n    end\n    return queue.items[1], Queue(queue.items[2:end])\nend\n\nfunction isempty(queue::Queue{T}) where T\n    return isempty(queue.items)\nend\n\nfunction length(queue::Queue{T}) where T\n    return length(queue.items)\nend\n\n# Example usage\nqueue = Queue{Int64}([])\n\nqueue = enqueue(queue, 1)\nqueue = enqueue(queue, 2)\nqueue = enqueue(queue, 3)\n\nprintln(dequeue(queue))  # Output: (1, Queue([2, 3]))\nprintln(length(queue))  # Output: 2\n"
23,18,10,"function insertionSort(arr::Array{T, 1}) where T\n    n = length(arr)\n    \n    for i in 2:n\n        key = arr[i]\n        j = i - 1\n        \n        while j >= 1 && arr[j] > key\n            arr[j+1] = arr[j]\n            j -= 1\n        end\n        \n        arr[j+1] = key\n    end\n    \n    return arr\nend\n\n# Example usage\narr = [64, 34, 25, 12, 22, 11, 90]\nprintln(\"Original array: \", arr)\nprintln(\"Sorted array: \", insertionSort(arr))\n"
36,16,13,"defmodule Queue do\n  defstruct front: [], rear: []\n\n  def empty?(queue) do\n    queue.front == [] and queue.rear == []\n  end\n\n  def enqueue(queue, element) do\n    %{queue | rear: queue.rear ++ [element]}\n  end\n\n  def dequeue(%{front: [], rear: rear} = queue) do\n    %{queue | front: Enum.reverse(rear), rear: []}\n  end\n\n  def dequeue(%{front: [h | t]} = queue) do\n    %{queue | front: t}\n  end\n\n  def peek(%{front: [h | _]}) do\n    h\n  end\nend\n\n# Example usage\nqueue = Queue.empty?()\nqueue = Queue.enqueue(queue, 1)\nqueue = Queue.enqueue(queue, 2)\nqueue = Queue.enqueue(queue, 3)\n\nIO.puts \"Dequeued element: #{Queue.peek(queue)}\"\nqueue = Queue.dequeue(queue)\nIO.puts \"Dequeued element: #{Queue.peek(queue)}\"\nqueue = Queue.dequeue(queue)\nIO.puts \"Dequeued element: #{Queue.peek(queue)}\"\n"
56,5,11,"#include <stdio.h>\n\nvoid swap(int* a, int* b) {\n    int temp = *a;\n    *a = *b;\n    *b = temp;\n}\n\nvoid heapify(int arr[], int n, int i) {\n    int largest = i;\n    int left = 2*i + 1;\n    int right = 2*i + 2;\n\n    if (left < n && arr[left] > arr[largest]) {\n        largest = left;\n    }\n\n    if (right < n && arr[right] > arr[largest]) {\n        largest = right;\n    }\n\n    if (largest != i) {\n        swap(&arr[i], &arr[largest]);\n        heapify(arr, n, largest);\n    }\n}\n\nvoid heapSort(int arr[], int n) {\n    for (int i = n/2 - 1; i >= 0; i--) {\n        heapify(arr, n, i);\n    }\n\n    for (int i = n - 1; i >= 0; i--) {\n        swap(&arr[0], &arr[i]);\n        heapify(arr, i, 0);\n    }\n}\n\nvoid printArray(int arr[], int n) {\n    for (int i = 0; i < n; i++) {\n        printf(\"%d \", arr[i]);\n    }\n    printf(\"\\n\");\n}\n\nint main() {\n    int arr[] = {12, 11, 13, 5, 6, 7};\n    int n = sizeof(arr)/sizeof(arr[0]);\n\n    printf(\"Original array: \");\n    printArray(arr, n);\n\n    heapSort(arr, n);\n\n    printf"
21,15,6,"void bubbleSort(List<int> arr) {\n  int n = arr.length;\n  for (int i = 0; i < n - 1; i++) {\n    for (int j = 0; j < n - i - 1; j++) {\n      if (arr[j] > arr[j + 1]) {\n        // Swap arr[j] and arr[j+1]\n        int temp = arr[j];\n        arr[j] = arr[j + 1];\n        arr[j + 1] = temp;\n      }\n    }\n  }\n}\n\nvoid main() {\n  List<int> arr = [64, 34, 25, 12, 22, 11, 90];\n  print('Original array: $arr');\n  bubbleSort(arr);\n  print('Sorted array: $arr');\n}\n"
